Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
57,"(0, 2, 2)",2,2,t,True,True,True,261,4,False,False,False,,,,,
58,"(0, 2, 2)",2,2,ct,True,True,True,261,4,False,False,False,,,,,
59,"(0, 2, 2)",2,2,n,False,True,True,261,4,False,False,False,,,,,
60,"(1, 2, 0)",2,1,c,True,True,True,261,4,False,False,False,,,,,
61,"(1, 2, 0)",2,1,t,True,True,True,261,4,False,False,False,,,,,
62,"(1, 2, 0)",2,1,ct,True,True,True,261,4,False,False,False,,,,,
63,"(1, 2, 0)",2,1,n,False,True,True,261,4,False,False,False,,,,,
64,"(1, 2, 1)",2,2,c,True,True,True,261,4,False,False,False,,,,,
65,"(1, 2, 1)",2,2,t,True,True,True,261,4,False,False,False,,,,,
66,"(1, 2, 1)",2,2,ct,True,True,True,261,4,False,False,False,,,,,
67,"(1, 2, 1)",2,2,n,False,True,True,261,4,False,False,False,,,,,
68,"(2, 2, 0)",2,2,c,True,True,True,261,4,False,False,False,,,,,
69,"(2, 2, 0)",2,2,t,True,True,True,261,4,False,False,False,,,,,
70,"(2, 2, 0)",2,2,ct,True,True,True,261,4,False,False,False,,,,,
71,"(2, 2, 0)",2,2,n,False,True,True,261,4,False,False,False,,,,,
