Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(0, 0, 0)",0,0,c,True,True,True,261,4,False,False,True,31257.0392,211.105,75.2067,49.9862,268.4469
1,"(0, 0, 0)",0,0,t,True,True,True,261,4,False,False,True,24936.5896,55.3999,19.7364,8.8902,434.4137
2,"(0, 0, 0)",0,0,ct,True,True,True,261,4,False,False,True,24930.3908,54.7201,19.4942,8.7885,454.1043
3,"(0, 0, 0)",0,0,n,False,True,True,261,4,False,False,True,31255.0522,211.1142,75.2099,49.9904,267.5498
4,"(0, 0, 1)",0,1,c,True,True,True,261,4,False,False,True,27870.9067,107.6138,38.3377,22.5139,429.0149
5,"(0, 0, 1)",0,1,t,True,True,True,261,4,False,False,True,21898.0907,30.7745,10.9635,4.8632,628.0739
6,"(0, 0, 1)",0,1,ct,True,True,True,261,4,False,False,True,21865.8803,30.1353,10.7358,4.7783,643.2461
7,"(0, 0, 1)",0,1,n,False,True,True,261,4,False,False,True,27868.9397,107.7776,38.396,22.5525,465.1036
8,"(0, 0, 2)",0,2,c,True,True,True,261,4,False,False,True,25102.6193,63.4683,22.6107,12.3614,384.1377
9,"(0, 0, 2)",0,2,t,True,True,True,261,4,False,False,True,19882.524,20.3511,7.2501,3.1015,511.7517
10,"(0, 0, 2)",0,2,ct,True,True,True,261,4,False,False,True,19837.2857,20.0864,7.1558,3.0281,526.2765
11,"(0, 0, 2)",0,2,n,False,True,True,261,4,False,False,True,25199.8364,65.9669,23.5009,12.8452,364.6563
12,"(1, 0, 0)",0,1,c,True,True,True,261,4,False,False,True,13989.7009,5.4816,1.9528,0.6917,278.4037
13,"(1, 0, 0)",0,1,t,True,True,True,261,4,False,False,True,13993.474,5.4815,1.9528,0.6928,580.7582
14,"(1, 0, 0)",0,1,ct,True,True,True,261,4,False,False,True,13988.6662,5.4795,1.9521,0.6968,608.1091
15,"(1, 0, 0)",0,1,n,False,True,True,261,4,False,False,True,13988.0723,5.483,1.9533,0.6924,266.3188
16,"(1, 0, 1)",0,2,c,True,True,True,261,4,False,False,True,13966.2742,5.4456,1.94,0.6896,351.2585
17,"(1, 0, 1)",0,2,t,True,True,True,261,4,False,False,True,14013.38,5.4731,1.9498,0.6901,782.5317
18,"(1, 0, 1)",0,2,ct,True,True,True,261,4,False,False,True,13997.9076,5.4643,1.9467,0.6942,921.7743
19,"(1, 0, 1)",0,2,n,False,True,True,261,4,False,False,True,13964.7806,5.447,1.9405,0.6901,371.341
20,"(2, 0, 0)",0,2,c,True,True,True,261,4,False,False,True,13962.5104,5.4386,1.9375,0.6891,382.3719
21,"(2, 0, 0)",0,2,t,True,True,True,261,4,False,False,True,13968.6444,5.4373,1.937,0.6898,856.0299
22,"(2, 0, 0)",0,2,ct,True,True,True,261,4,False,False,True,13967.6965,5.434,1.9359,0.6937,895.7945
23,"(2, 0, 0)",0,2,n,False,True,True,261,4,False,False,True,13961.0374,5.4397,1.9379,0.6897,356.8329
24,"(0, 1, 0)",1,0,c,True,True,True,261,4,False,False,True,13970.5471,5.4717,1.9493,0.688,355.7524
25,"(0, 1, 0)",1,0,t,True,True,True,261,4,False,False,True,13977.5478,5.4705,1.9489,0.6869,748.8732
26,"(0, 1, 0)",1,0,ct,True,True,True,261,4,False,False,True,13981.7784,5.471,1.949,0.6872,781.0869
27,"(0, 1, 0)",1,0,n,False,True,True,261,4,False,False,True,13972.2237,5.4759,1.9508,0.6897,348.8473
28,"(0, 1, 1)",1,1,c,True,True,True,261,4,False,False,True,13945.9754,5.4339,1.9359,0.6854,405.8202
29,"(0, 1, 1)",1,1,t,True,True,True,261,4,False,False,True,13981.8963,5.4657,1.9472,0.6868,856.5001
30,"(0, 1, 1)",1,1,ct,True,True,True,261,4,False,False,True,13970.5733,5.4818,1.9529,0.6879,855.8666
31,"(0, 1, 1)",1,1,n,False,True,True,261,4,False,False,True,13948.4507,5.4397,1.9379,0.6876,366.9833
32,"(0, 1, 2)",1,2,c,True,True,True,261,4,False,False,True,13937.1712,5.4229,1.9319,0.6848,429.4122
33,"(0, 1, 2)",1,2,t,True,True,True,261,4,False,False,True,13942.6759,5.4258,1.9329,0.6834,947.0287
34,"(0, 1, 2)",1,2,ct,True,True,True,261,4,False,False,True,13946.1032,5.4334,1.9357,0.6843,914.1029
35,"(0, 1, 2)",1,2,n,False,True,True,261,4,False,False,True,13939.039,5.428,1.9337,0.6869,383.1667
36,"(1, 1, 0)",1,1,c,True,True,True,261,4,False,False,True,13942.4634,5.4273,1.9335,0.6849,372.6831
37,"(1, 1, 0)",1,1,t,True,True,True,261,4,False,False,True,13950.8643,5.4294,1.9342,0.684,810.5259
38,"(1, 1, 0)",1,1,ct,True,True,True,261,4,False,False,True,13949.139,5.4369,1.9369,0.6841,822.0639
39,"(1, 1, 0)",1,1,n,False,True,True,261,4,False,False,True,13944.9341,5.4331,1.9355,0.687,330.0281
40,"(1, 1, 1)",1,2,c,True,True,True,261,4,False,False,True,13934.3863,5.4651,1.9469,0.6873,400.1728
41,"(1, 1, 1)",1,2,t,True,True,True,261,4,False,False,True,14025.8605,5.4759,1.9508,0.6873,903.3169
42,"(1, 1, 1)",1,2,ct,True,True,True,261,4,False,False,True,14026.4261,5.4645,1.9456,0.6893,1806.918
43,"(1, 1, 1)",1,2,n,False,True,True,261,4,False,False,True,13968.082,5.4985,1.9577,0.6936,3962.045
44,"(2, 1, 0)",1,2,c,True,True,True,261,4,False,False,True,14001.0081,5.4501,1.9384,0.687,408.6527
45,"(2, 1, 0)",1,2,t,True,True,True,261,4,False,False,True,14002.7893,5.4458,1.9368,0.6853,889.2389
46,"(2, 1, 0)",1,2,ct,True,True,True,261,4,False,False,True,14004.6914,5.4603,1.9420,0.6866,938.2831
47,"(2, 1, 0)",1,2,n,False,True,True,261,4,False,False,False,,,,,
48,"(0, 2, 0)",2,0,c,True,True,True,261,4,False,False,False,,,,,
49,"(0, 2, 0)",2,0,t,True,True,True,261,4,False,False,False,,,,,
50,"(0, 2, 0)",2,0,ct,True,True,True,261,4,False,False,False,,,,,
51,"(0, 2, 0)",2,0,n,False,True,True,261,4,False,False,False,,,,,
52,"(0, 2, 1)",2,1,c,True,True,True,261,4,False,False,False,,,,,
53,"(0, 2, 1)",2,1,t,True,True,True,261,4,False,False,False,,,,,
54,"(0, 2, 1)",2,1,ct,True,True,True,261,4,False,False,False,,,,,
55,"(0, 2, 1)",2,1,n,False,True,True,261,4,False,False,False,,,,,
56,"(0, 2, 2)",2,2,c,True,True,True,261,4,False,False,False,,,,,
