date,f_open,f_high,f_low,f_close,f_adj_close
2020-05-01,2821.75,2879.75,2811.75,2871.5,1647259
2020-05-04,2825.25,2835.75,2771.0,2789.0,1510680
2020-05-05,2858.25,2889.75,2824.5,2827.0,1474765
2020-05-06,2833.5,2886.25,2832.0,2857.75,1466641
2020-05-07,2880.0,2895.0,2823.0,2832.0,1494330
2020-05-08,2928.5,2933.0,2879.75,2882.0,1326254
2020-05-11,2922.75,2947.0,2889.75,2920.75,1528302
2020-05-12,2852.5,2939.25,2838.0,2919.25,1824303
2020-05-13,2813.0,2876.75,2786.0,2839.75,2591379
2020-05-14,2847.0,2853.75,2760.25,2820.25,2501222
2020-05-15,2846.5,2863.5,2809.5,2846.25,1897194
2020-05-18,2948.0,2964.75,2850.0,2859.75,1775433
2020-05-19,2918.75,2976.25,2914.25,2945.0,1567224
2020-05-20,2968.5,2975.75,2908.5,2913.5,1532404
2020-05-21,2937.0,2973.5,2933.0,2972.25,1608225
2020-05-22,2953.0,2957.5,2903.75,2936.75,1377263
2020-05-26,2994.5,3019.75,2947.5,2948.5,1797241
2020-05-27,3035.5,3039.5,2965.5,2994.0,2109332
2020-05-28,3038.0,3065.5,3019.5,3035.0,1881295
2020-05-29,3042.0,3058.25,2992.0,3036.0,2258009
2020-06-01,3054.0,3059.0,3008.0,3029.75,1277803
2020-06-02,3077.0,3079.0,3035.0,3052.75,1458830
2020-06-03,3117.75,3129.5,3074.25,3078.0,1623708
2020-06-04,3110.5,3126.75,3087.5,3117.75,1830904
2020-06-05,3186.75,3210.5,3106.5,3113.25,2444330
2020-06-08,3227.5,3231.25,3183.25,3192.5,1602601
2020-06-09,3205.5,3231.0,3190.0,3227.75,1695764
2020-06-10,3186.0,3227.25,3179.75,3204.75,1996065
2020-06-11,3010.25,3188.5,2996.25,3183.75,3528726
2020-06-12,3034.75,3087.75,2982.0,3011.75,2872339
2020-06-15,3073.0,3079.25,2935.0,2992.75,1947459
2020-06-16,3128.75,3167.75,3071.25,3076.25,1377224
2020-06-17,3118.0,3157.75,3105.0,3122.0,610877
2020-06-18,3109.0,3130.5,3075.25,3115.0,373718
2020-06-19,3161.260009765625,3196.0,3106.75,3108.25,1952273
2020-06-22,3110.75,3114.25,3027.25,3040.25,1392325
2020-06-23,3118.5,3145.75,3060.0,3111.75,1528485
2020-06-24,3049.0,3128.5,3019.75,3113.25,2387916
2020-06-25,3070.75,3079.5,3005.0,3046.75,1967245
2020-06-26,3007.0,3082.0,2992.5,3071.25,2208418
2020-06-29,3047.75,3051.25,2983.5,2986.25,1585146
2020-06-30,3090.25,3101.25,3030.25,3046.0,1724164
2020-07-01,3103.0,3117.75,3062.75,3085.25,1537321
2020-07-02,3129.0,3156.5,3095.5,3101.75,1552517
2020-07-06,3172.0,3174.5,3105.75,3125.25,1459512
2020-07-07,3136.5,3184.0,3132.5,3170.0,1333466
2020-07-08,3163.5,3166.25,3125.5,3135.25,1527612
2020-07-09,3141.0,3170.75,3105.25,3166.25,1881833
2020-07-10,3178.5,3181.25,3111.5,3142.25,1408591
2020-07-13,3148.25,3226.25,3140.5,3183.5,2074726
2020-07-14,3183.5,3192.25,3119.0,3149.75,2256766
2020-07-15,3219.5,3233.25,3192.0,3204.0,1937696
2020-07-16,3194.5,3228.5,3188.5,3223.25,1471311
2020-07-17,3214.0,3225.25,3194.75,3198.5,1261113
2020-07-20,3245.25,3250.5,3190.25,3214.5,1401168
2020-07-21,3251.25,3273.25,3239.25,3243.75,1463931
2020-07-22,3265.5,3271.75,3227.25,3249.25,1354244
