date,open,high,low,close,adj_close
2015-05-01,177.29421997070312,177.3362912121904,176.0826401105757,176.18360081947284,103399700
2015-05-04,177.799072265625,178.38803120785747,177.61396904973165,177.7233388857835,70927200
2015-05-05,175.7628936767578,177.91682031045488,175.61986174297815,177.55502308167422,113326200
2015-05-06,175.03932189941406,176.62951716104993,173.96236494118128,176.31821310169286,135060200
2015-05-07,175.73765563964844,176.16676428454488,174.60180926758275,174.93835348782315,88244900
2015-05-08,178.0514678955078,178.253402170845,177.34471718934012,177.428859680316,155877300
2015-05-11,177.2016143798828,178.27857107442898,177.12589387128267,178.00933831996068,75708100
2015-05-12,176.67156982421875,177.21847019662985,175.5273015716159,176.36026579759314,119727600
2015-05-13,176.7052459716797,177.7148914892053,176.46966244553502,177.0838614359594,94667900
2015-05-14,178.54795837402344,178.64051001521275,177.45416975224404,177.73182467581202,95934000
2015-05-15,178.74131774902344,178.8843496468911,178.2533197712972,178.74131774902344,76510100
2015-05-18,179.2967071533203,179.54910894555377,178.50581396874503,178.57312539278774,74549700
2015-05-19,179.23780822753906,179.6921571388218,178.95174429871165,179.4145023237805,72114600
2015-05-20,179.11155700683594,179.86878786177087,178.79183103600926,179.3387185603136,76857500
2015-05-21,179.63320922851562,179.84355256484878,178.8002449948345,178.96852993457173,64764600
2015-05-22,179.20413208007812,179.66687719746236,179.13682066485103,179.2461904810478,57433500
2015-05-26,177.2773895263672,179.13683056454792,176.85670278670406,178.70772187355368,124308600
2015-05-27,178.96018981933594,179.19577343668948,177.32792272885487,177.74020047839568,93214000
2015-05-28,178.7581787109375,178.86754851093494,178.05983732452356,178.64879607260224,74974600
2015-05-29,177.6475830078125,178.732949068437,177.37835018992112,178.690890668198,124919600
2015-06-01,178.00936889648438,178.65721714357034,177.2100539295078,178.3206729330929,93338800
2015-06-02,177.8327178955078,178.5310594977432,176.9156237873346,177.54665396351024,91531000
2015-06-03,178.3038787841797,178.934908938217,177.80747147753894,178.37119020787796,87820900
2015-06-04,176.79774475097656,178.25331671095586,176.4780188445641,177.58863756894286,151882800
2015-06-05,176.49490356445312,177.176413971469,175.83021138200945,176.64634461563915,121704700
2015-06-08,175.4095001220703,176.5369500892055,175.3337796070774,176.3854962208821,89063300
2015-06-09,175.3843231201172,175.93122365928016,174.744883810413,175.3843231201172,105034700
2015-06-10,177.48773193359375,177.8747693808545,176.09947083557088,176.1583603028673,134551300
2015-06-11,178.05987548828125,178.44690010353955,177.69807821227135,177.9336617619957,73876400
2015-06-12,176.6968231201172,177.93364304523976,176.41916835750405,177.2268924704095,135382400
2015-06-15,175.9396209716797,176.225684893279,174.82900173957685,175.54417438191652,124384200
2015-06-16,176.8987579345703,176.98290041018407,175.6114576553835,175.7881388804974,85308200
2015-06-17,177.184814453125,177.79902625525523,176.1499288054114,177.184814453125,126708600
2015-06-18,179.0274200439453,179.4985870649111,177.21847248023624,177.79060019474088,165867900
2015-06-19,178.2327423095703,178.8583919936377,177.8522850682393,178.78230312552978,130478700
2015-06-22,179.14573669433594,179.7375601373387,178.93437025749327,179.16264962150274,70696000
2015-06-23,179.27261352539062,179.61080768201458,178.8752563551379,179.3571652897436,68476800
2015-06-24,177.97061157226562,179.3825383915139,177.94524862168183,179.00208123196845,92307300
2015-06-25,177.4295196533203,178.6047170387508,177.35343079905533,178.4779022816425,97107400
2015-06-26,177.3957061767578,178.03825577891416,176.83769544550177,177.79306338148842,104174800
2015-06-29,173.6756134033203,177.40412132832682,173.5995245642271,175.8991929737014,202621300
2015-06-30,174.03919982910156,175.28203601376663,173.55727796530587,175.23129721169175,182925100
2015-07-01,175.43423461914062,175.88233066827328,174.6394943355347,175.62868823083454,135979900
2015-07-02,175.27357482910156,176.08522796006977,174.85084177981975,175.9161373205148,104373700
2015-07-06,174.77476501464844,175.5610423483133,173.76865822364863,173.9715747456217,117975400
2015-07-07,175.8738555908203,176.00067034107502,172.5680801591041,174.97766362025118,173820200
2015-07-08,172.92318725585938,174.8085731213779,172.6864577705382,174.52111773217206,164020100
2015-07-09,173.23599243164062,175.30739462196533,173.1260906151726,175.04528930383157,144113100
2015-07-10,175.41734313964844,175.84007628682375,173.27831444700468,175.2567024795951,129456900
2015-07-13,177.35345458984375,177.46335642715053,176.65171607120288,176.69399196283973,106069400
2015-07-14,178.12278747558594,178.4356186976055,177.25195844557382,177.31114726353027,81709600
2015-07-15,178.0635986328125,178.6300593169873,177.58167680999634,178.16505042675794,97914100
2015-07-16,179.49244689941406,179.49244689941406,178.88371030489284,179.12888978564723,106683300
2015-07-17,179.6446075439453,179.70379635483275,179.06969687080073,179.48396694386463,89030000
2015-07-20,179.73764038085938,180.23646229831812,179.4163720259617,179.8729180570212,70446800
2015-07-21,179.02740478515625,179.86442067259054,178.7230365443425,179.60231540625676,77965000
2015-07-22,178.7061767578125,179.04437095972563,178.30035661630646,178.33416958610292,88667900
2015-07-23,177.70008850097656,178.94292490842872,177.33654420939897,178.8414730876705,90509100
2015-07-24,175.85691833496094,177.86066851658353,175.51873711386222,177.80149260824524,117755000
2015-07-27,174.8339080810547,175.47647049615244,174.38581213409827,174.96073572124953,132361100
2015-07-28,176.98138427734375,177.12511193702645,174.84235651131272,175.67935952362888,123544800
2015-07-29,178.19886779785156,178.42713432334818,176.96448179360746,177.1082094617751,105791300
2015-07-30,178.2411651611328,178.41025579695912,177.05750490877153,177.68315445219628,91304400
2015-07-31,177.97061157226562,178.7738017759257,177.68315619845694,178.74843882534194,103266900
2015-08-03,177.3703155517578,177.99596506809831,176.40648477840452,177.93678915347567,113965700
2015-08-04,177.0237274169922,177.75927892567282,176.5333554442747,177.2942699083725,81820800
2015-08-05,177.6071014404297,178.65547133457588,177.31963311064948,177.92836984309167,85786800
2015-08-06,176.15284729003906,177.90295521186013,175.56101076594953,177.79304050296565,116030800
2015-08-07,175.81468200683594,176.14441328685595,174.9015770235214,175.99223557336498,117858000
2015-08-10,178.02980041503906,178.11433928340026,176.93914193663323,176.93914193663323,80270700
2015-08-11,176.42337036132812,177.09974567128614,175.65399328499103,176.67701271516063,126081400
2015-08-12,176.63479614257812,176.82079973778488,173.62493854856368,175.1045043917509,172123700
2015-08-13,176.4149932861328,177.1674577431149,175.86543247547942,176.47416921604824,89383300
2015-08-14,177.05747985839844,177.13356869863682,176.07673624825904,176.22046391341598,72786500
2015-08-17,178.04672241210938,178.04672241210938,175.99224575637072,176.4572547424814,79072600
2015-08-18,177.5309600830078,178.12278374623838,177.29423061771558,177.76768954830004,71692700
2015-08-19,176.12750244140625,177.55632929992828,175.3073993002727,176.77850204354374,172946000
2015-08-20,172.4497528076172,176.10216031536692,172.39056397747552,174.5972314157712,194327900
2015-08-21,167.25856018066406,172.42435856984426,166.99646775368126,170.55587281171998,346588500
2015-08-24,160.21583557128906,166.96265184222833,154.2130207404922,158.51645325252167,507244300
2015-08-25,158.33042907714844,165.24633509870256,158.03451080254519,165.22942216566545,369833100
2015-08-26,164.4093475341797,164.68834000136118,159.26044905368667,162.3971340383367,339257000
2015-08-27,168.47601318359375,168.60282792309167,165.04342329278535,166.57371468640105,274143900
2015-08-28,168.4844970703125,168.9579560606689,167.3346625648227,167.82503449077467,160414400
2015-08-31,167.12330627441406,168.3576926328122,166.56529547263995,167.49531347559682,163298800
2015-09-01,162.1350555419922,164.6714541225278,161.2557634762973,163.27642716275903,256000400
2015-09-02,165.21253967285156,165.25481555953843,162.68459129813283,164.54461420525124,160269300
2015-09-03,165.3308868408203,167.44455194259302,164.83206497299105,165.9311605052825,152087800
2015-09-04,162.82830810546875,163.90205363173544,161.99975496511865,163.04813754122688,207081000
2015-09-08,166.9203643798828,167.07255498487913,165.00961565591822,165.660628159091,116025700
2015-09-09,164.68829345703125,168.6450804926855,164.31629930565947,168.51826577071623,149347700
2015-09-10,165.58453369140625,166.74281807011133,164.23178282953492,164.49387524508526,158611100
2015-09-11,166.3370361328125,166.40467498150258,164.46855002752437,165.18720150666397,119691200
2015-09-14,165.71983337402344,166.56529961563513,165.22946140579373,166.514573705265,79452000
2015-09-15,167.79119873046875,168.239294706965,165.67753359575494,166.22708137046524,113806200
2015-09-16,169.2454071044922,169.4398736068597,167.74894131295548,168.09558552939535,99581600
2015-09-17,168.8649444580078,171.5366204921731,168.48448728433996,169.1101368571374,276046600
2015-09-18,166.1053924560547,168.85044088957468,165.6889687085422,166.32636469875564,223657500
2015-09-21,166.96376037597656,168.00057925435388,165.90143372761227,166.94675951860344,105726200
2015-09-22,164.796630859375,165.26405723336447,163.64931275666055,164.77113605423523,153890900
2015-09-23,164.533203125,165.44254825048182,163.9467965740212,164.96662785196517,92790600
2015-09-24,163.93824768066406,164.40567401232366,161.9495752527177,163.3008516741796,159378800
2015-09-25,163.89578247070312,165.72297936372473,163.01191931876372,165.41702872926209,155054800
2015-09-28,159.782470703125,163.09693863994386,159.46802606879913,162.98645248502567,178515900
2015-09-29,159.87591552734375,161.2526997541438,158.86457843007727,160.00340251256233,159045600
2015-09-30,162.8589630126953,163.02893271872514,160.99776425720395,161.78812922577845,163452000
