date,f_open,f_high,f_low,f_close,f_adj_close
2022-05-02,4151.0,4165.75,4056.0,4144.0,2351404
2022-05-03,4169.25,4195.75,4129.0,4145.5,1678497
2022-05-04,4295.25,4303.0,4142.75,4171.25,1783477
2022-05-05,4143.25,4300.75,4099.25,4289.75,2389422
2022-05-06,4119.5,4153.25,4062.0,4146.5,2310919
2022-05-09,3987.5,4099.0,3970.0,4087.25,2139992
2022-05-10,3996.75,4065.5,3953.0,3993.25,2247750
2022-05-11,3930.25,4050.5,3923.75,3990.5,2157244
2022-05-12,3927.25,3961.75,3855.0,3939.75,2380563
2022-05-13,4019.75,4036.0,3915.5,3916.25,1859074
2022-05-16,4004.75,4043.5,3979.5,4025.0,1695198
2022-05-17,4084.75,4091.5,4000.5,4002.0,1716498
2022-05-18,3922.75,4095.0,3905.5,4091.25,2202394
2022-05-19,3897.75,3943.5,3856.0,3916.5,2317604
2022-05-20,3899.5,3949.5,3807.5,3900.5,2408399
2022-05-23,3971.75,3982.25,3906.5,3910.5,1736162
2022-05-24,3940.5,3954.5,3872.0,3951.75,2017453
2022-05-25,3976.75,3997.75,3913.5,3950.0,1744116
2022-05-26,4055.75,4073.5,3960.5,3972.25,1493132
2022-05-27,4155.75,4168.25,4041.25,4047.5,1547507
2022-05-31,4131.25,4202.25,4102.75,4164.5,2222573
2022-06-01,4099.0,4165.0,4071.5,4138.5,1912031
2022-06-02,4175.25,4179.0,4072.25,4097.75,1513748
2022-06-03,4107.0,4189.0,4096.75,4177.75,1532766
2022-06-06,4120.5,4168.25,4104.5,4110.5,1457918
2022-06-07,4158.75,4164.0,4076.0,4122.0,1677883
2022-06-08,4114.0,4160.0,4105.25,4150.75,1706628
2022-06-09,4016.25,4144.25,4014.75,4116.0,2024783
2022-06-10,3899.0,4029.5,3895.25,4025.25,2117225
2022-06-13,3750.5,3876.5,3732.5,3870.75,2155159
2022-06-14,3736.75,3805.0,3705.25,3758.25,1341257
2022-06-15,3789.25,3839.0,3720.25,3740.0,777545
2022-06-16,3668.25,3828.75,3639.0,3794.25,544027
2022-06-17,3663.760009765625,3710.75,3663.760009765625,3677.5,2207570
2022-06-21,3767.75,3783.75,3661.5,3684.0,1566039
2022-06-22,3762.75,3805.5,3693.25,3766.25,1660579
2022-06-23,3799.75,3805.75,3735.0,3761.25,1607695
2022-06-24,3916.25,3919.75,3781.25,3785.25,1563128
2022-06-27,3903.75,3948.0,3892.5,3915.0,1497368
2022-06-28,3825.5,3950.0,3821.75,3911.25,1791690
2022-06-29,3821.25,3840.0,3801.25,3828.25,1717770
2022-06-30,3789.5,3825.0,3741.25,3822.75,2394361
2022-07-01,3827.25,3833.5,3744.5,3782.0,1752977
2022-07-05,3834.0,3857.75,3744.0,3828.5,2031501
2022-07-06,3848.25,3875.0,3808.75,3838.0,1684324
2022-07-07,3905.0,3914.25,3832.5,3853.75,1314443
2022-07-08,3901.25,3922.0,3868.0,3897.0,1485497
